id,label,description,qid,wd_description,wd_description
1,game,Concept,Q11410,en,structured form of play
2,Homo Ludens,Book by Johan Huizinga,Q1070024,en,essay by Johan Huizinga
3,The Grasshopper,Book by Bernard Suits,Q400730,en,Wikimedia disambiguation page
4,play,,Q397813,en,Wikimedia disambiguation page
5,lusory attitude,,Q6705217,,
6,game mechanics,,Q1751513,en,"construct, rule, or method designed for interaction with a game's state"
7,rules,,Q230037,en,Wikimedia disambiguation page
8,engagement,,Q157512,en,promise to wed; period of preparation before marriage
9,emergence,,Q215772,en,phenomenon whereby larger entities arise through interactions among smaller/simpler entities such that the larger entities exhibit properties the smaller/simpler entities don't exhibit
10,complexity,,Q723897,en,behavior of a system or model with many parts interacting in multiple ways
11,Open Work,Book by Umberto Eco,,,
12,storytelling,,Q989963,en,"social and cultural activity of sharing stories, often with improvisation, theatrics, or embellishment"
13,agency,,Q232353,en,Wikimedia disambiguation page
14,agon,,Q395257,en,"Ancient Greek concept of struggle or competition, in drama, athletics etc."
15,mimicry,,Q192627,en,evolved resemblance between an organism and another object or organism
16,leisse,,Q829704,en,river in Germany
17,ludus,,Q358194,en,Wikimedia disambiguation page
18,magic circle,,Q2211147,en,circle of space marked out by practitioners of many branches of ritual magic
19,Johan Huizinga,,Q276280,en,Dutch cultural historian (1872–1945)
20,role-playing game,,Q160738,en,game in which players assume the roles of characters in a fictional setting
21,make-believe,,Q6739181,en,loosley structure of play using imagination and sometimes role-play
22,randomness,,Q176640,en,apparent lack of pattern or predictability in events
23,chance,,Q349043,en,Wikimedia disambiguation page
24,probability theory,,Q5862903,en,branch of mathematics concerning probability
25,Musikalisches Würfelspiel,,Q905441,en,musical dice game used to randomly generate music
26,board game,,Q131436,en,"game that involves counters or pieces moved or placed on a pre-marked surface or ""board"", according to a set of rules"
27,tabletop role-playing game,,Q1643932,en,form of role-playing game for leisure
28,generative model,,Q5532625,en,model for randomly generating observable data in probability and statistics
29,John Cage,,Q180727,en,American avant-garde composer (1912-1992)
